coding,beta,se,pvalue,n,protein,-Log10P
1881,-0.00358477725122392,0.00535315710845326,0.503093064335413,9459,NOTCH1,0.298351669837084
1882,-0.000969986077531198,0.00492984849855128,0.84402196965258,8204,NOTCH2,0.0736462486649787
1883,-0.00298501079525646,0.00501569834412472,0.551768405415144,9459,NOTCH3,0.25824317110348
1884,0.0141081973478176,0.00457059439022286,0.00203058178383415,8063,NPC2,2.69237951415099
1885,0.0198773602626195,0.00503935901963644,8.05779096100039e-05,9350,NPDC1,4.09378400347303
1886,-0.00142957514447846,0.00501141317922224,0.775449417055207,7966,NPHS1,0.110446526167945
1887,0.00277006390089068,0.00521251740252868,0.595138902017015,7966,NPHS2,0.225381660591981
1888,0.0020860423219354,0.00444287984926364,0.638707083183615,8186,NPL,0.194698267542499
1890,0.00378848205847613,0.00514255470822814,0.46132810815626,9204,NPPB,0.335990083555039
1891,0.0208037936853809,0.00460383616315019,6.29581634834301e-06,9340,NPPC,5.2009479490201
1892,0.00300070597410711,0.00513567340215874,0.559044008354896,7950,NPR1,0.252554002787296
1893,-0.00696340161499635,0.00538638236969913,0.196120187338667,9161,NPTN,0.707477700577244
1894,0.00755463091326784,0.00523691268203859,0.149174100258751,9387,NPTX1,0.82630657291633
1895,0.00530352942247237,0.00436291304448799,0.224174794163237,8204,NPTX2,0.649413220336997
1896,0.00180276016789003,0.00520620063335215,0.729146306417738,9350,NPTXR,0.137185319837489
1897,0.000374438723789052,0.00533219161760359,0.944018218862837,9450,NPY,0.0250196240544259
1898,0.0113411747383537,0.00531634681781551,0.0329290244013738,9350,NRCAM,1.48242113607754
1899,0.00399041700904543,0.00516048355379997,0.439388383642501,8202,NRGN,0.357151428950895
1900,0.00187391332983641,0.00518159311241755,0.717624367548988,8182,NRN1,0.144102822873122
1901,0.0142521105235547,0.00540064518908229,0.00832972503014105,9389,NRP1,2.07936933471127
1902,0.0121375881299876,0.00524771071449168,0.0207480280388913,9387,NRP2,1.68302317377236
1903,0.00947139684824201,0.00545701923885314,0.0826617336257057,9225,NRTN,1.08269549070466
1904,-0.000804250368067004,0.00508646936251521,0.87436968602609,7975,NRXN3,0.058304907576888
1905,0.00841481904371931,0.00548354142677645,0.124925610063895,9466,NSFL1C,0.903348521038977
1906,0.00690783347566655,0.00523655336350139,0.187153758274604,8186,NT5C,0.727801447301717
1907,0.011552027070167,0.00467810328382959,0.0135549341451314,8185,NT5C1A,1.86790258804111
1908,0.00218671641318744,0.00551839205166208,0.691922515917738,9340,NT5C3A,0.159942536747677
1909,0.00314566982270445,0.00545439618445965,0.564141132824258,9416,NT5E,0.248612233713109
1910,-0.020924613024886,0.005300027369113,7.93795170322964e-05,9340,NTF3,4.10029154779276
1911,0.0126715706827471,0.00533401973482559,0.0175402756388699,9161,NTF4,1.75596358614104
1912,-0.00812972921122269,0.00490602026122881,0.0975343864562737,9350,NTproBNP,1.01084224363086
1913,-0.00926467827514009,0.0053423556530378,0.0829167738399352,9350,NTRK2,1.08135760395843
1914,-0.0132148236676915,0.00504435036405135,0.00881406812559179,9466,NTRK3,2.05482359706932
1915,0.00584401431569294,0.00551230227144616,0.2890916872703,9340,NUB1,0.538964396134746
1916,0.00743563007518882,0.0051843445849335,0.151540254186479,8151,NUBP1,0.819471988620887
1917,0.0179611884603012,0.00549071277402746,0.00107479236319779,9439,NUCB2,2.96867542805283
1918,0.00911189544736133,0.00561065863208136,0.104402137571777,9452,NUDC,0.981290609321077
1919,0.00337484130503887,0.00521131525835752,0.517263156521695,7983,NUDT10,0.286288454297593
1920,0.016967508282778,0.00512333928754632,0.000931099464037358,7950,NUDT15,3.03100392334168
1921,0.000471991319531757,0.00513637622946583,0.926786197651074,8150,NUDT16,0.0330204426513879
1922,0.0020737542798759,0.00551667382723279,0.7069948607911,9340,NUDT2,0.150583743117073
1923,0.00948048622914783,0.00544076497309623,0.0814552937983532,9387,NUDT5,1.0890806855396
1924,-0.00153413152711574,0.0050841702710014,0.762853067916301,7966,NUMB,0.117559102855239
1925,-0.000494980385407543,0.00514552273918718,0.923367077587738,7950,NUP50,0.0346256141652864
1926,0.00392787922786154,0.00507355345725565,0.438843269088688,7950,NXPE4,0.357690558399013
1927,0.0135179465692393,0.00529691531453876,0.0107254095232054,9211,NXPH1,1.96958611636722
1928,0.00187505200694756,0.00483421734616029,0.698121991849944,7966,NXPH3,0.15606868087537
1929,0.0122594056031876,0.00439015699489232,0.00524135873091216,9287,OBP2B,2.28055611514495
1930,0.0148554100971707,0.00479456180609531,0.0019523764142299,8182,OCLN,2.70943644749763
